Country Name,GDP per Capita
Luxembourg,118503.551
Singapore,98483.342
Ireland,95237.2413
Switzerland ,71760.58621
United Arab Emirates,66746.63494
United States,63413.51386
Norway,63287.60701
Denmark,60551.64017
Netherlands,59334.21484
Austria,55648.87456
Iceland,55224.6848
Sweden,54929.52734
Germany,54263.64961
Belguim,52626.58164
Australia,52397.38705
Finland,50810.52741
Canada,48090.99217
Kuwait,47289.37168
Saudi Arabia,46742.24456
France,46712.01011
United Kingdom,45852.68889
New Zealand,44212.87648
Bahrain,43739.56152
Malta,42640.1161
Israel,42390.87755
Czech Republic,42049.18595
Italy,41890.20879
Japan,41732.86862
Slovenia,40124.26023
Lithuania,39191.94871
