location,location_code,geographic_level,time_period,Life_Expectancy
England,E92000001,country,2003,76.50
England,E92000002,country,2004,76.85
England,E92000003,country,2005,77.23
England,E92000004,country,2006,77.52
England,E92000005,country,2007,77.77
England,E92000006,country,2008,78.07
England,E92000007,country,2009,78.37
England,E92000008,country,2010,78.78
England,E92000009,country,2011,79.09
England,E92000010,country,2012,79.29
England,E92000011,country,2013,79.44
England,E92000012,country,2014,79.46
England,E92000013,country,2015,79.53
England,E92000014,country,2016,79.55
England,E92000015,country,2017,79.63
England,E92000016,country,2018,79.76
England,E92000017,country,2019,79.40
