areaCode,areaName,areaType,date,newCasesByPublishDate
E12000001,North East,region,2021-11-22,1635
E12000001,North East,region,2021-11-21,1255
E12000001,North East,region,2021-11-20,1502
E12000001,North East,region,2021-11-19,1556
E12000001,North East,region,2021-11-18,1554
E12000001,North East,region,2021-11-17,1501
E12000001,North East,region,2021-11-16,1131
E12000001,North East,region,2021-11-15,1385
E12000001,North East,region,2021-11-14,1504
E12000001,North East,region,2021-11-13,1481
E12000001,North East,region,2021-11-12,1540
E12000001,North East,region,2021-11-11,1558
E12000001,North East,region,2021-11-10,1586
E12000001,North East,region,2021-11-09,1566
E12000001,North East,region,2021-11-08,1099
E12000001,North East,region,2021-11-07,1222
E12000001,North East,region,2021-11-06,1323
E12000001,North East,region,2021-11-05,1672
E12000001,North East,region,2021-11-04,1531
E12000001,North East,region,2021-11-03,1616
E12000001,North East,region,2021-11-02,1759
E12000001,North East,region,2021-11-01,1819
E12000001,North East,region,2021-10-31,1619
E12000001,North East,region,2021-10-30,1923
E12000001,North East,region,2021-10-29,2071
E12000001,North East,region,2021-10-28,1884
E12000001,North East,region,2021-10-27,2075
E12000001,North East,region,2021-10-26,1850
E12000001,North East,region,2021-10-25,1430
E12000001,North East,region,2021-10-24,1610
E12000001,North East,region,2021-10-23,2353
E12000001,North East,region,2021-10-22,2037
E12000001,North East,region,2021-10-21,2256
E12000001,North East,region,2021-10-20,1818
E12000001,North East,region,2021-10-19,2014
E12000001,North East,region,2021-10-18,1668
E12000001,North East,region,2021-10-17,1562
E12000001,North East,region,2021-10-16,1720
E12000001,North East,region,2021-10-15,1756
E12000001,North East,region,2021-10-14,2166
E12000001,North East,region,2021-10-13,1745
E12000001,North East,region,2021-10-12,1914
E12000001,North East,region,2021-10-11,1304
E12000001,North East,region,2021-10-10,1555
E12000001,North East,region,2021-10-09,1380
E12000001,North East,region,2021-10-08,1551
E12000001,North East,region,2021-10-07,1718
E12000001,North East,region,2021-10-06,1440
E12000001,North East,region,2021-10-05,1401
E12000001,North East,region,2021-10-04,1272
E12000001,North East,region,2021-10-03,1081
E12000001,North East,region,2021-10-02,1301
E12000001,North East,region,2021-10-01,1122
E12000001,North East,region,2021-09-30,1217
E12000001,North East,region,2021-09-29,1361
E12000001,North East,region,2021-09-28,1727
E12000001,North East,region,2021-09-27,1315
E12000001,North East,region,2021-09-26,1222
E12000001,North East,region,2021-09-25,1121
E12000001,North East,region,2021-09-24,1432
E12000001,North East,region,2021-09-23,1472
E12000001,North East,region,2021-09-22,1546
E12000001,North East,region,2021-09-21,1230
E12000001,North East,region,2021-09-20,1432
E12000001,North East,region,2021-09-19,1043
E12000001,North East,region,2021-09-18,1274
E12000001,North East,region,2021-09-17,1313
E12000001,North East,region,2021-09-16,1243
E12000001,North East,region,2021-09-15,1247
E12000001,North East,region,2021-09-14,1293
E12000001,North East,region,2021-09-13,1073
E12000001,North East,region,2021-09-12,1120
E12000001,North East,region,2021-09-11,1594
E12000001,North East,region,2021-09-10,1826
E12000001,North East,region,2021-09-09,1568
E12000001,North East,region,2021-09-08,1539
E12000001,North East,region,2021-09-07,1734
E12000001,North East,region,2021-09-06,1628
E12000001,North East,region,2021-09-05,1263
E12000001,North East,region,2021-09-04,1598
E12000001,North East,region,2021-09-03,1332
E12000001,North East,region,2021-09-02,1726
E12000001,North East,region,2021-09-01,1277
E12000001,North East,region,2021-08-31,1023
E12000001,North East,region,2021-08-30,1066
E12000001,North East,region,2021-08-29,893
E12000001,North East,region,2021-08-28,1453
E12000001,North East,region,2021-08-27,1301
E12000001,North East,region,2021-08-26,1450
E12000001,North East,region,2021-08-25,1403
E12000001,North East,region,2021-08-24,1057
E12000001,North East,region,2021-08-23,1235
E12000001,North East,region,2021-08-22,1192
E12000001,North East,region,2021-08-21,1191
E12000001,North East,region,2021-08-20,1048
E12000001,North East,region,2021-08-19,1260
E12000001,North East,region,2021-08-18,1178
E12000001,North East,region,2021-08-17,1081
E12000001,North East,region,2021-08-16,989
E12000001,North East,region,2021-08-15,820
E12000001,North East,region,2021-08-14,1225
E12000001,North East,region,2021-08-13,1125
E12000001,North East,region,2021-08-12,1107
E12000001,North East,region,2021-08-11,1134
E12000001,North East,region,2021-08-10,1042
E12000001,North East,region,2021-08-09,905
E12000001,North East,region,2021-08-08,957
E12000001,North East,region,2021-08-07,1247
E12000001,North East,region,2021-08-06,1397
E12000001,North East,region,2021-08-05,1151
E12000001,North East,region,2021-08-04,1294
E12000001,North East,region,2021-08-03,829
E12000001,North East,region,2021-08-02,909
E12000001,North East,region,2021-08-01,1035
E12000001,North East,region,2021-07-31,1281
E12000001,North East,region,2021-07-30,1470
E12000001,North East,region,2021-07-29,1498
E12000001,North East,region,2021-07-28,1430
E12000001,North East,region,2021-07-27,1265
E12000001,North East,region,2021-07-26,1443
E12000001,North East,region,2021-07-25,1522
E12000001,North East,region,2021-07-24,1830
E12000001,North East,region,2021-07-23,2112
E12000001,North East,region,2021-07-22,2531
E12000001,North East,region,2021-07-21,2837
